,date,new_cases,d_s_pos,d_s_neg,total,por_pos,por_neg,pos_strength,neg_strength
476,12-05-2021,13.541908889720498,0.143325422,0.856674578,9.345308232,-0.394502225,-0.768764764,-0.05654219787806395,-0.6585812297809697
477,13-05-2021,13.495087639267908,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478,14-05-2021,13.484294483488764,0.137553496,0.862446504,8.970686269,0.235137451,0.302826482,0.03234397842557869,0.2611716407195189
479,15-05-2021,13.352396739369814,0.117540747,0.882459253,9.038721338,-0.517840493,-0.24114672,-0.06086735837406827,-0.21280215439460018
480,16-05-2021,13.216869597756206,0.119845935,0.880154065,9.415890055,-0.251582336,0.2735319,-0.030151120287404163,0.2407502136921735
481,17-05-2021,13.197257469056565,0.136860664,0.863139336,8.998631198,0.242767605,0.940347855,0.03322533561798972,0.8116512231737243
482,18-05-2021,13.342378841350614,0.142116645,0.857883355,8.768263145,-0.79890699,0.31955547,-0.11353798108584856,0.2741413187122019
483,19-05-2021,13.418641398601224,0.156180252,0.843819748,8.48838211,0.463230234,0.146895049,0.07234741468013897,0.12395294322962766
484,20-05-2021,13.351321988438436,0.131947951,0.868052049,8.519191194,0.039228898,1.006542258,0.005176172711087998,0.8737310694619868
485,21-05-2021,13.348114725458926,0.124046998,0.875953002,8.101374671,-1.189617875,0.131529125,-0.14756852616088925,0.11521333189418326
486,22-05-2021,13.269756993896998,0.163676806,0.836323194,8.265392931,0.816885247,0.298833775,0.1337051680974811,0.24992161718307737
487,23-05-2021,13.07585440932746,0.154302808,0.845697192,8.407824654,0.39366236,1.207440226,0.06074320755190688,1.0211288086360453
488,24-05-2021,13.022523152421556,0.139480345,0.860519655,8.15564927,0.297201386,-0.854294916,0.04145375185375817,-0.735137566384574
489,25-05-2021,13.186006497790268,0.124162756,0.875837244,8.430763463,-1.52195938,0.130321555,-0.18897067114085128,0.11414047156499442
490,26-05-2021,13.252831834025905,0.138735306,0.861264694,8.408939606,-1.113119362,0.178014964,-0.15442895530159476,0.15331800349688102
491,27-05-2021,13.225515456259773,0.12186643,0.87813357,8.43771699,-0.667614734,-0.111080178,-0.08135982424797962,-0.09754323326337547
492,28-05-2021,13.123564655580692,0.13975038,0.86024962,8.462103225,0.463422724,0.115356928,0.06476350177963512,0.09923575347636736
493,29-05-2021,13.086375512959854,0.128694203,0.871305797,8.342125263,-0.533100943,0.598327716,-0.06860700097793343,0.5213264074565697
494,30-05-2021,12.878642048442517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
495,31-05-2021,12.844861312398326,0.135934437,0.864065563,8.206856428,-0.688604527,0.687753137,-0.09360506869339628,0.5942638015269212
496,01-06-2021,13.0455600838254,0.155061538,0.844938462,8.095293777,-0.112550192,0.589014925,-0.017452205873715296,0.49768136482454534
497,02-06-2021,13.09444321186404,0.124616744,0.875383256,8.317277766,-0.342209612,0.025119443,-0.042645047612943326,0.02198913980224641
498,03-06-2021,13.10100285722296,0.095235839,0.904764161,8.337587942,-0.966151628,1.416143065,-0.0920122608937959,1.2812754920606935
499,04-06-2021,12.94738360364422,0.121121233,0.878878767,8.041734711,0.611282071,0.650403733,0.07403923815031353,0.5716260309112372
500,05-06-2021,12.89740067243301,0.145603974,0.854396026,8.066835314,-0.804212908,0.763230955,-0.11709659534689638,0.6521014948721848
501,06-06-2021,12.686329777489629,0.0,0.0,0.0,0.0,0.0,0.0,0.0
502,07-06-2021,12.677924565633528,0.147540869,0.852459131,8.478244441,-0.045657825,0.406146892,-0.006736395177149924,0.34622362661267087
503,08-06-2021,12.813738187544692,0.142763481,0.857236519,8.178077464,1.181401387,1.139446531,0.16866097446634815,0.9767751778210655
504,09-06-2021,12.94787188548543,0.151639576,0.848360424,8.321421587,0.318533198,-0.528204036,0.04830223908664405,-0.44810739993947124
505,10-06-2021,13.01636265685908,0.0,0.0,0.0,0.0,0.0,0.0,0.0
506,11-06-2021,12.95038336205941,0.135116723,0.864883277,7.955425089,1.29880001,0.286042382,0.1754896011835672,0.2473932727050458
507,12-06-2021,12.828950247101726,0.123263195,0.876736805,7.999678579,0.514261697,0.035591617,0.06338953983834192,0.031204480573363683
508,13-06-2021,12.623719915535094,0.107060884,0.892939116,8.267192186,0.9118259,-1.084257234,0.09762088690809559,-0.9681756960445652
509,14-06-2021,12.635843299458111,0.131967562,0.868032438,8.185907481,0.638192149,-0.072538675,0.08422066199107074,-0.06296592290953965
510,15-06-2021,12.824913757393496,0.155717449,0.844282551,8.146998697,0.476234044,-0.217148388,0.07415795045863377,-0.1833345949661778
511,16-06-2021,12.895999646873854,0.116915281,0.883084719,8.561018671,0.541345948,0.390326921,0.0632916136286314,0.34469173934942016
512,17-06-2021,12.880414101721051,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513,18-06-2021,12.91629569995516,0.116513266,0.883486734,8.127699853,-1.14411664,0.442275351,-0.13330476641134625,0.3907444053836936
514,19-06-2021,12.764264563100287,0.124506899,0.875493101,8.078378104,-0.108086161,0.631676532,-0.013457472730924739,0.5530284458296056
515,20-06-2021,12.619496002603384,0.100620975,0.899379025,8.164225652,0.82771335,0.032888894,0.08328532429751626,0.029579581419048352
516,21-06-2021,12.590256233318758,0.139544752,0.860455248,8.201111644,-0.177313491,-0.316290531,-0.02474316712784923,-0.27215384729165665
